Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4537.110840,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4143.547852,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4173.250977,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4113.843750,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4284.636230,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4284.636230,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4247.506836,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4240.082520,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4329.190430,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4529.682617,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4529.682617,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4425.725098,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4485.130859,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4366.320313,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4232.657227,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4039.587158,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4069.289551,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4098.993164,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4321.765625,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4143.547852,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,3950.480225,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3898.499023,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3809.391113,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3809.391113,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3891.073242,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4032.162109,58460000
